ec5_uuid,created_at,uploaded_at,created_by,title,lat_1_Coordinates,long_1_Coordinates,accuracy_1_Coordinates,UTM_Easting_1_Coordinates,UTM_Northing_1_Coordinates,UTM_Zone_1_Coordinates,2_Data_Type,3_Value,4_Take_a_note_if_hel,5_Take_a_picture_if_
7de00507-7139-4122-b583-d584bb35979e,2019-12-02T13:16:52.765Z,2019-12-02T14:49:59.000Z,rodrigo.cedeno.j@gmail.com,"On-street parking",45.488276,9.187398,11,5037211,514643,32T,"On-street parking",1,,
36eaebb8-f338-4738-9db5-7de6dbef2e4b,2019-12-02T13:16:34.009Z,2019-12-02T14:49:58.000Z,rodrigo.cedeno.j@gmail.com,"Number of lanes",45.488267,9.187339,17,5037210,514639,32T,"Number of lanes",1,,
b3321a38-a73f-4778-99fa-c2f5e8dbe81b,2019-12-02T13:16:07.163Z,2019-12-02T14:49:56.000Z,rodrigo.cedeno.j@gmail.com,"Width of sidewalk",45.488209,9.187308,31,5037203,514636,32T,"Width of sidewalk",3.3,,
30123350-f917-4398-8aa3-84686baf7f7a,2019-12-02T13:12:46.352Z,2019-12-02T14:49:53.000Z,rodrigo.cedeno.j@gmail.com,Lighting,45.488008,9.187499,7,5037181,514651,32T,Lighting,5,,
b5973301-2cc1-4257-ab44-989e6bf7970f,2019-12-02T13:11:25.716Z,2019-12-02T14:49:52.000Z,rodrigo.cedeno.j@gmail.com,"Number of lanes",45.488043,9.187545,6,5037185,514655,32T,"Number of lanes",1,,
99005e3d-4b76-4047-9845-8bbd264b9f2c,2019-12-02T13:11:01.766Z,2019-12-02T14:49:55.000Z,rodrigo.cedeno.j@gmail.com,"On-street parking",45.488148,9.187332,17,5037196,514638,32T,"On-street parking",1,4m,
b511f3ad-df97-4b66-a090-a94fcf677801,2019-12-02T13:10:16.252Z,2019-12-02T14:49:50.000Z,rodrigo.cedeno.j@gmail.com,Buffer,45.487719,9.187234,17,5037149,514631,32T,Buffer,9,,
27522e2f-c4b6-4545-813d-5708e13fe741,2019-12-02T13:08:03.591Z,2019-12-02T14:49:49.000Z,rodrigo.cedeno.j@gmail.com,"Width of sidewalk",45.487518,9.187404,6,5037126,514644,32T,"Width of sidewalk",7,,
5e684295-d6a8-44dd-a514-34a2760123a9,2019-12-02T13:06:20.919Z,2019-12-02T14:49:47.000Z,rodrigo.cedeno.j@gmail.com,Buffer,45.487499,9.187397,4,5037124,514643,32T,Buffer,1,50cm,
44d37f61-7e29-401b-be66-0bfbf54c7047,2019-12-02T13:05:52.244Z,2019-12-02T14:49:46.000Z,rodrigo.cedeno.j@gmail.com,"Curb ramps",45.486221,9.186742,15,5036982,514593,32T,"Curb ramps",1,,
