ec5_uuid,created_at,uploaded_at,created_by,title,lat_1_Coordinates,long_1_Coordinates,accuracy_1_Coordinates,UTM_Easting_1_Coordinates,UTM_Northing_1_Coordinates,UTM_Zone_1_Coordinates,2_Data_Type,3_Value,4_Take_a_note_if_hel,5_Take_a_picture_if_
4e9faea1-3115-416a-bcb7-d3a4ea71e76a,2019-12-02T12:56:21.074Z,2019-12-02T14:49:22.000Z,rdilarazaf@gmail.com,"Width of sidewalk",45.486683,9.186805,30,5037033,514597,32T,"Width of sidewalk",3.15,,
3a8506d5-e767-45d1-a9b5-ddbf99ecd209,2019-12-02T12:55:43.532Z,2019-12-02T14:49:21.000Z,rdilarazaf@gmail.com,Lighting,45.486713,9.186867,10,5037037,514602,32T,Lighting,1,,
74f43deb-8bd6-4d40-9833-8e30ab504bb9,2019-12-02T12:55:09.508Z,2019-12-02T14:49:19.000Z,rdilarazaf@gmail.com,Buffer,45.48664,9.186835,10,5037029,514600,32T,Buffer,1,80cm,
7647dd21-0b9c-4902-a893-2d13276b7b4e,2019-12-02T12:52:50.975Z,2019-12-02T14:49:18.000Z,rdilarazaf@gmail.com,"Width of sidewalk",45.486633,9.186896,10,5037028,514605,32T,"Width of sidewalk",5,,
e721569b-04e5-4159-875c-a4504640fa9d,2019-12-02T12:52:21.409Z,2019-12-02T14:49:16.000Z,rdilarazaf@gmail.com,Buffer,45.486646,9.186837,10,5037029,514600,32T,Buffer,1,75cm,e721569b-04e5-4159-875c-a4504640fa9d_1575291137.jpg
13ca3e76-4bec-4ca6-a07e-4a6d07a7ad6c,2019-12-02T12:51:11.820Z,2019-12-02T14:49:15.000Z,rdilarazaf@gmail.com,"Curb ramps",45.48659,9.186709,30,5037023,514590,32T,"Curb ramps",2,,
3ad3527f-fd94-4a99-9843-0e8c639c208a,2019-12-02T12:50:23.813Z,2019-12-02T14:49:13.000Z,rdilarazaf@gmail.com,Buffer,45.486536,9.186935,10,5037017,514608,32T,Buffer,1,50cm,
9f512f7e-683e-4376-b29e-4e814797b45c,2019-12-02T12:49:37.179Z,2019-12-02T14:49:12.000Z,rdilarazaf@gmail.com,"Curb ramps",45.486509,9.186941,10,5037014,514608,32T,"Curb ramps",2,,9f512f7e-683e-4376-b29e-4e814797b45c_1575290974.jpg
88caf3fd-4274-4611-a021-941375ffd50c,2019-12-02T12:48:41.320Z,2019-12-02T14:49:10.000Z,rdilarazaf@gmail.com,"Width of sidewalk",45.486513,9.186993,30,5037015,514612,32T,"Width of sidewalk",5.2,,88caf3fd-4274-4611-a021-941375ffd50c_1575290918.jpg
5a490ec0-543b-4cc4-8eb5-dfb403e7b966,2019-12-02T12:47:16.766Z,2019-12-02T14:49:09.000Z,rdilarazaf@gmail.com,Lighting,45.486398,9.186501,50,5037002,514574,32T,Lighting,1,,
b8e42051-6f11-4357-ab49-3688d6bc40e4,2019-12-02T12:45:39.083Z,2019-12-02T14:49:07.000Z,rdilarazaf@gmail.com,Lighting,45.48637,9.186608,10,5036999,514582,32T,Lighting,1,,
ba9583cb-6412-4d22-9ecb-abb11431e7b6,2019-12-02T12:44:36.634Z,2019-12-02T14:49:06.000Z,rdilarazaf@gmail.com,"Width of sidewalk",45.486256,9.186624,25,5036986,514583,32T,"Width of sidewalk",3,,
b3d04b77-fccb-4581-8a54-73fb111ba80e,2019-12-02T12:42:57.367Z,2019-12-02T14:49:04.000Z,rdilarazaf@gmail.com,"Width of bike lane and shoulder",45.486078,9.186662,10,5036966,514586,32T,"Width of bike lane and shoulder",0,,
27dc23a5-511a-4ddb-ac08-f599cf54444f,2019-12-02T12:42:29.103Z,2019-12-02T14:49:03.000Z,rdilarazaf@gmail.com,"Curb ramps",45.48605,9.186709,10,5036963,514590,32T,"Curb ramps",1,,
f45590a4-aa26-430a-968a-bd27168abaa7,2019-12-02T12:41:26.466Z,2019-12-02T14:49:01.000Z,rdilarazaf@gmail.com,Buffer,45.486172,9.186637,10,5036977,514584,32T,Buffer,0,,
c712e6b0-885b-4140-9a02-112f3406d505,2019-12-02T12:40:43.846Z,2019-12-02T14:48:59.000Z,rdilarazaf@gmail.com,Lighting,45.486036,9.186752,10,5036962,514593,32T,Lighting,1,,
eb02f150-aaec-44e7-b11f-e13b09b07cb3,2019-12-02T12:40:11.244Z,2019-12-02T14:48:57.000Z,rdilarazaf@gmail.com,"On-street parking",45.486062,9.186702,10,5036964,514590,32T,"On-street parking",1,,
dbf7ecc0-ebe0-4742-b88b-6ff4eb855a73,2019-12-02T12:36:45.481Z,2019-12-02T14:48:56.000Z,rdilarazaf@gmail.com,"Number of lanes",45.486016,9.186691,10,5036959,514589,32T,"Number of lanes",1,,dbf7ecc0-ebe0-4742-b88b-6ff4eb855a73_1575290202.jpg
a33082e0-3f1a-4e15-81d6-dcedd7c05834,2019-12-02T12:35:58.730Z,2019-12-02T14:48:54.000Z,rdilarazaf@gmail.com,"Width of sidewalk",45.486245,9.186696,50,5036985,514589,32T,"Width of sidewalk",3.2,,a33082e0-3f1a-4e15-81d6-dcedd7c05834_1575290151.jpg
